Trajectory,Pairwise_Distance
AFRICA-BERINGIA,0.08
AFRICA-BERINGIA,0.07
AFRICA-BERINGIA,0.08
AFRICA-BERINGIA,0.06
AFRICA-BERINGIA,0.03
AFRICA-BERINGIA,0.02
AFRICA-BERINGIA,0.03
AFRICA-BERINGIA,0.01
AFRICA-FINLAND,-0.09
AFRICA-FINLAND,-0.04
AFRICA-FINLAND,0.09
AFRICA-FINLAND,0.03
AFRICA-FINLAND,-0.12
AFRICA-FINLAND,-0.05
AFRICA-FINLAND,0
AFRICA-FINLAND,0.13
AFRICA-FINLAND,0.07
AFRICA-FINLAND,-0.08
AFRICA-JAPAN,0.09
AFRICA-JAPAN,0.14
AFRICA-JAPAN,0.03
AFRICA-JAPAN,0.06
AFRICA-JAPAN,0.175
AFRICA-JAPAN,0.08
AFRICA-JAPAN,-0.03
AFRICA-JAPAN,0.02
AFRICA-JAPAN,-0.09
AFRICA-JAPAN,-0.06
AFRICA-JAPAN,0.055
AFRICA-JAPAN,-0.04
AFRICA-PORTUGAL,0
AFRICA-PORTUGAL,-0.005
AFRICA-PORTUGAL,0.03
AFRICA-PORTUGAL,-0.01
AFRICA-PORTUGAL,-0.035
AFRICA-PORTUGAL,-0.04
AFRICA-PORTUGAL,-0.005
AFRICA-PORTUGAL,-0.045
BERINGIA-MEXICO,0.27
BERINGIA-MEXICO,0.32
BERINGIA-MEXICO,0
BERINGIA-MEXICO,0.13
BERINGIA-MEXICO,0.105
BERINGIA-MEXICO,0.09
BERINGIA-MEXICO,0.12
BERINGIA-MEXICO,0.17
BERINGIA-MEXICO,-0.15
BERINGIA-MEXICO,-0.02
BERINGIA-MEXICO,-0.045
BERINGIA-MEXICO,-0.06
MEXICO-BRAZIL,0.91
MEXICO-BRAZIL,0.61
MEXICO-BRAZIL,0.95
MEXICO-BRAZIL,0.855
MEXICO-BRAZIL,0.31
MEXICO-BRAZIL,0.01
MEXICO-BRAZIL,0.35
MEXICO-BRAZIL,0.255
MEXICO-CHILE,0.17
MEXICO-CHILE,0.19
MEXICO-CHILE,0.12
MEXICO-CHILE,-0.06
MEXICO-CHILE,-0.08
MEXICO-CHILE,0.06
MEXICO-CHILE,0.08
MEXICO-CHILE,0.00999999999999998
MEXICO-CHILE,-0.17
MEXICO-CHILE,-0.19
